created_at,entry_id,field1,field2,field3,field4,field5
2019-11-10 20:44:00 UTC,4090,102.42429,60.71050,17.92185,11.75000,
2019-11-10 20:44:30 UTC,4091,102.42258,60.65186,17.88424,11.75000,
2019-11-10 20:45:01 UTC,4092,102.42358,60.58705,17.82780,11.75000,
2019-11-10 20:45:31 UTC,4093,102.41990,60.59323,17.77138,12.00000,
2019-11-10 20:46:02 UTC,4094,102.42387,60.51916,17.77138,11.75000,
2019-11-10 20:46:32 UTC,4095,102.42143,60.53459,17.69614,11.75000,
2019-11-10 20:47:02 UTC,4096,102.41985,60.50681,17.65852,11.75000,
2019-11-10 20:47:33 UTC,4097,102.42163,60.40806,17.62090,11.75000,
2019-11-10 20:48:03 UTC,4098,102.42122,60.33090,17.52685,11.75000,
2019-11-10 20:48:33 UTC,4099,102.41604,60.38337,17.50804,11.75000,
2019-11-10 20:49:04 UTC,4100,102.42065,60.33707,17.47042,12.00000,
2019-11-10 20:49:39 UTC,4101,102.42168,60.35868,17.43280,27.50000,
2019-11-10 20:50:09 UTC,4102,102.42295,60.52225,17.37637,49.50000,
2019-11-10 20:50:40 UTC,4103,102.43052,60.41423,17.33875,57.00000,
2019-11-10 20:51:10 UTC,4104,102.43193,60.24757,17.31994,65.00000,
2019-11-10 20:51:40 UTC,4105,102.42712,60.17351,17.26351,73.50000,
2019-11-10 20:52:11 UTC,4106,102.42363,60.13338,17.24470,80.75000,
2019-11-10 20:52:41 UTC,4107,102.42195,60.10870,17.18827,84.75000,
2019-11-10 20:53:12 UTC,4108,102.42363,60.08401,17.16946,87.50000,
2019-11-10 20:53:42 UTC,4109,102.42588,60.01302,17.11303,89.50000,
2019-11-10 20:54:12 UTC,4110,102.42661,60.00685,17.03779,91.75000,
2019-11-10 20:54:43 UTC,4111,102.42488,59.93896,17.03779,92.50000,
2019-11-10 20:55:16 UTC,4112,102.41777,59.95747,17.00017,93.50000,
2019-11-10 20:55:46 UTC,4113,102.42283,59.98833,16.96255,94.25000,
2019-11-10 20:56:17 UTC,4114,102.42229,59.93587,16.96255,94.50000,
2019-11-10 20:56:49 UTC,4115,102.42041,59.92353,16.88731,95.00000,
2019-11-10 20:57:20 UTC,4116,102.41636,59.92970,16.88731,95.50000,
2019-11-10 20:57:50 UTC,4117,102.41860,59.90501,16.83088,nan,
2019-11-10 20:58:21 UTC,4118,102.41939,62.23199,16.69921,nan,
2019-11-10 20:58:51 UTC,4119,102.42285,64.71326,16.73683,nan,
2019-11-10 20:59:21 UTC,4120,102.42641,66.10204,16.62397,nan,
2019-11-10 20:59:52 UTC,4121,102.42268,67.40441,16.47350,nan,
2019-11-10 21:00:22 UTC,4122,102.42293,68.02164,16.30421,nan,
